date,producao_aco_bruto,consumo_aparente,exportacoes_volume,vendas_internas,importacoes_volume,saldo_comercial_volume
2013-01-01,2769.437,2167.705,717.366,1905.819,261.886,455.48
2013-02-01,2574.894,2069.84,628.682,1791.619,278.221,350.461
2013-03-01,2858.521,2330.914,748.199,2062.865,268.049,480.15
2013-04-01,2913.622,2402.633,596.758,2074.205,328.428,268.33
2013-05-01,2999.775,2456.82,491.647,2193.013,263.807,227.84
2013-06-01,2836.535,2358.624,554.775,2123.333,235.291,319.484
2013-07-01,2918.241,2473.819,443.421,2095.949,377.87,65.551
2013-08-01,2976.77,2559.039,590.543,2226.363,332.676,257.867
2013-09-01,2981.309,2470.893,663.272,2111.765,359.128,304.144
2013-10-01,2980.32,2548.795,543.213,2140.947,407.848,135.365
2013-11-01,2727.159,2239.78,600.004,1940.644,299.136,300.868
2013-12-01,2625.874,1939.096,758.04,1720.766,218.33,539.71
2014-01-01,2763.104,2150.569,557.823,1842.849,307.72,250.103
2014-02-01,2621.952,2117.975,548.937,1873.26,244.715,304.222
2014-03-01,2979.472,2289.976,640.774,1985.524,304.452,336.322
2014-04-01,2773.487,2232.322,605.473,1879.424,352.898,252.575
2014-05-01,2891.691,2368.86,522.687,1962.587,406.273,116.414
2014-06-01,2718.474,1948.193,946.259,1628.668,319.525,626.734
2014-07-01,2969.407,2251.464,711.606,1848.836,402.628,308.978
2014-08-01,2963.39,2089.052,834.771,1720.005,369.047,465.724
2014-09-01,2874.88,2237.666,1210.6,1867.21,370.456,840.144
2014-10-01,3052.4,2241.479,843.309,1912.825,328.654,514.655
2014-11-01,2666.147,1952.0,946.709,1667.745,284.255,662.454
2014-12-01,2622.63,1726.103,1236.257,1519.386,206.717,1029.54
2015-01-01,2995.593,2047.736,777.575,1677.25,370.486,407.089
2015-02-01,2666.853,1873.938,807.768,1565.431,308.507,499.261
2015-03-01,2768.357,2225.396,919.181,1933.686,291.71,627.471
2015-04-01,2897.342,1972.612,753.26,1549.627,422.985,330.275
2015-05-01,2983.106,1825.803,1075.299,1523.185,302.618,772.681
2015-06-01,2776.468,1795.821,1400.961,1476.789,319.032,1081.929
2015-07-01,2876.648,1692.653,1157.875,1432.848,259.805,898.07
2015-08-01,2798.697,1772.933,1305.597,1575.806,197.127,1108.47
2015-09-01,2500.816,1704.892,1596.406,1488.039,216.853,1379.553
2015-10-01,2982.512,1639.727,815.854,1453.215,186.512,629.342
2015-11-01,2547.996,1503.256,1109.773,1371.956,131.3,978.473
2015-12-01,2463.199,1240.596,1632.392,1125.269,115.327,1517.065
2016-01-01,2515.7,1351.646,832.965,1246.131,105.515,727.45
2016-02-01,2453.03,1380.888,892.188,1292.172,88.716,803.472
2016-03-01,2529.206,1671.761,1216.425,1496.566,175.195,1041.23
2016-04-01,2321.756,1515.812,888.006,1403.563,112.249,775.757
2016-05-01,2612.378,1559.664,1217.086,1390.604,169.06,1048.026
2016-06-01,2576.69,1601.469,1103.175,1508.923,92.546,1010.629
2016-07-01,2841.267,1526.651,963.053,1415.103,111.548,851.505
2016-08-01,2960.97,1615.748,1026.91,1505.264,110.484,916.426
2016-09-01,2788.269,1657.636,1157.016,1504.012,153.624,1003.392
2016-10-01,2966.38,1640.345,1052.01,1409.714,230.631,821.379
2016-11-01,2672.537,1577.741,1159.755,1385.566,192.175,967.58
2016-12-01,2404.204,1420.621,1527.016,1270.348,150.273,1376.743
2017-01-01,2868.134,1473.94,1030.124,1264.586,209.354,820.77
2017-02-01,2611.526,1432.82,1125.821,1271.493,161.327,964.494
2017-03-01,2887.216,1753.306,1148.832,1519.005,234.301,914.531
2017-04-01,2927.012,1386.615,1165.89,1232.527,154.088,1011.802
2017-05-01,2952.183,1642.48,1238.863,1432.133,210.347,1028.516
2017-06-01,2673.045,1711.367,1221.147,1518.771,192.596,1028.551
2017-07-01,2852.292,1661.419,1151.5,1456.869,204.55,946.95
2017-08-01,2981.321,1769.502,1188.687,1577.998,191.504,997.183
2017-09-01,2986.492,1795.286,1445.252,1572.888,222.398,1222.854
2017-10-01,3095.382,1683.008,1363.447,1496.794,186.214,1177.233
2017-11-01,3075.159,1633.824,1270.646,1469.08,164.744,1105.902
2017-12-01,2867.874,1579.829,1402.539,1435.252,144.577,1257.962
2018-01-01,2913.796,1690.286,1199.355,1472.82,217.466,981.889
2018-02-01,2765.939,1624.245,934.127,1465.818,158.427,775.7
2018-03-01,3113.184,1848.202,1228.267,1635.628,212.574,1015.693
2018-04-01,2994.53,1744.952,1063.113,1543.079,201.873,861.24
2018-05-01,2724.472,1395.459,1251.195,1185.649,209.81,1041.385
2018-06-01,2969.824,2047.315,1051.28,1817.595,229.72,821.56
2018-07-01,3086.315,1890.9,1217.952,1675.67,215.23,1002.722
2018-08-01,2914.206,1952.049,1121.432,1758.747,193.302,928.13
2018-09-01,3080.824,1898.921,1176.047,1708.31,190.611,985.436
2018-10-01,3223.519,1773.931,1172.708,1649.072,124.859,1047.849
2018-11-01,2911.253,1760.489,1157.145,1587.955,172.534,984.611
2018-12-01,2708.686,1580.126,1544.443,1419.431,160.695,1383.748
2019-01-01,3020.806,1617.662,1117.343,1443.115,174.547,942.796
2019-02-01,2746.747,1697.527,936.576,1519.679,177.848,758.728
2019-03-01,2877.683,1839.706,1026.194,1665.496,174.21,851.984
2019-04-01,2970.006,1719.781,1026.845,1516.282,203.499,823.346
2019-05-01,2826.295,1790.101,1021.196,1556.848,233.253,787.943
2019-06-01,2882.544,1746.033,1241.55,1578.172,167.861,1073.689
2019-07-01,2504.754,1761.184,864.672,1564.081,197.103,667.569
2019-08-01,2536.573,1830.552,1013.066,1637.925,192.627,820.439
2019-09-01,2394.487,1797.115,1018.046,1612.146,184.969,833.077
2019-10-01,2690.47,1864.047,928.722,1653.774,210.273,718.449
2019-11-01,2656.803,1752.141,1024.359,1623.963,128.178,896.181
2019-12-01,2461.766,1560.706,1174.968,1427.462,133.244,1041.724
2020-01-01,2740.451,1777.397,787.353,1546.72,230.677,556.676
2020-02-01,2772.437,1718.407,914.328,1567.12,151.287,763.041
2020-03-01,2722.125,1656.097,986.266,1511.75,144.347,841.919
2020-04-01,1929.293,1140.758,733.899,991.46,149.298,584.601
2020-05-01,2255.698,1366.877,966.713,1216.707,150.17,816.543
2020-06-01,2148.399,1762.391,1002.834,1571.447,190.944,811.89
2020-07-01,2626.427,1907.91,888.635,1761.767,146.143,742.492
2020-08-01,2759.058,1907.279,841.084,1777.387,129.892,711.192
2020-09-01,2645.379,2030.752,627.787,1887.468,143.284,484.503
2020-10-01,2853.744,2084.694,791.171,1941.888,142.806,648.365
2020-11-01,3017.509,2049.615,660.048,1848.706,200.909,459.139
2020-12-01,2944.336,2046.652,920.535,1839.565,207.087,713.448
2021-01-01,3022.874,2226.762,560.509,1938.418,288.344,272.165
2021-02-01,2867.058,2127.256,657.043,1883.565,243.691,413.352
2021-03-01,2801.841,2410.712,918.678,2074.47,336.242,582.436
2021-04-01,3037.1,2215.335,646.381,1926.952,288.383,357.998
2021-05-01,3125.149,2490.628,934.776,2105.883,384.745,550.031
2021-06-01,3068.51,2480.172,957.278,2080.256,399.916,557.362
2021-07-01,3091.223,2303.854,648.954,1899.06,404.794,244.16
2021-08-01,3203.383,2250.068,932.344,1871.964,378.104,554.24
2021-09-01,3107.897,2113.116,928.909,1818.833,294.283,634.626
2021-10-01,2968.449,1981.318,984.227,1677.172,304.146,680.081
2021-11-01,3133.901,2018.803,1086.933,1615.964,402.839,684.094
2021-12-01,2643.682,1719.143,1440.24,1410.371,308.772,1131.468
2022-01-01,2937.003,1782.226,1214.958,1485.638,296.588,918.37
2022-02-01,2721.969,1859.944,922.517,1563.503,296.441,626.076
2022-03-01,3000.046,2106.67,1217.504,1861.44,245.23,972.274
2022-04-01,2946.67,1975.366,1022.925,1751.33,224.036,798.889
2022-05-01,2985.381,2055.445,873.489,1778.64,276.805,596.684
2022-06-01,2933.027,1965.265,1192.667,1767.435,197.83,994.837
2022-07-01,2845.561,1962.164,620.075,1741.955,220.209,399.866
2022-08-01,2889.893,2143.292,945.304,1824.69,318.602,626.702
2022-09-01,2786.556,2063.918,820.99,1827.849,236.069,584.921
2022-10-01,2907.374,2025.545,876.056,1703.31,322.235,553.821
2022-11-01,2636.321,1915.916,732.408,1641.088,274.828,457.58
2022-12-01,2499.694,1678.362,913.414,1379.282,299.08,614.334
2023-01-01,2728.997,1927.82,891.473,1588.215,339.605,551.868
2023-02-01,2468.969,1731.061,1064.326,1469.536,261.525,802.801
2023-03-01,2722.24,2156.481,937.614,1822.478,334.003,603.611
2023-04-01,2768.181,1908.502,938.076,1584.433,324.069,614.007
2023-05-01,2789.967,2042.761,1057.805,1703.964,338.797,719.008
2023-06-01,2571.168,1972.292,1043.766,1639.432,332.86,710.906
2023-07-01,2737.343,1994.312,896.338,1613.771,380.541,515.797
2023-08-01,2760.886,2130.662,892.413,1716.394,414.268,478.145
2023-09-01,2585.646,2177.995,913.126,1657.803,520.192,392.934
2023-10-01,2645.469,2008.854,1002.137,1650.916,357.938,644.199
2023-11-01,2722.332,1982.969,960.359,1626.346,356.623,603.736
2023-12-01,2528.977,1945.885,993.953,1463.505,482.38,511.573
2024-01-01,2732.632,1940.764,913.34,1617.776,322.988,590.352
2024-02-01,2775.033,1933.375,889.926,1579.843,353.532,536.394
2024-03-01,2773.146,2111.994,871.451,1698.257,413.737,457.714
2024-04-01,2711.574,2165.147,810.426,1739.409,425.738,384.688
2024-05-01,2576.464,2155.354,857.869,1722.294,433.06,424.809
2024-06-01,2850.48,2189.653,851.54,1841.469,348.184,503.356
2024-07-01,3100.107,2294.071,1069.238,1911.01,383.061,686.177
2024-08-01,3005.301,2458.971,1059.82,1959.33,499.641,560.179
2024-09-01,2894.263,2386.419,895.163,1904.324,482.095,413.068
2024-10-01,3070.396,2428.878,796.884,1940.669,488.209,308.675
2024-11-01,2781.43,2191.384,947.864,1811.99,379.394,568.47
2024-12-01,2609.369,1852.344,877.949,1552.897,299.447,578.502
2025-01-01,2769.952,2154.473,780.946,1659.033,495.44,285.506
2025-02-01,2675.986,2102.126,756.838,1666.694,435.432,321.406
2025-03-01,2881.835,2392.581,876.172,1832.707,559.874,316.298
2025-04-01,2644.864,2173.898,651.165,1677.18,496.718,154.447
2025-05-01,2705.611,2407.404,751.56,1776.86,630.544,121.016
2025-06-01,2833.962,2423.68,1051.587,1865.689,557.991,493.596
2025-07-01,2802.571,2334.975,758.868,1856.072,478.903,279.965
2025-08-01,2870.446,2182.656,861.521,1825.94,356.716,504.805
2025-09-01,2814.361,2262.049,1023.909,1889.552,372.497,651.412
2025-10-01,2988.408,2275.428,858.919,1814.189,461.239,397.68
2025-11-01,2799.992,2150.074,1101.266,1748.372,401.702,699.564
2025-12-01,2558.686,1923.22,1196.017,1592.296,330.924,865.093
2026-01-01,-8.618,-10.551,8.604,-8.927,-1.624,10.228
